SOURCE_SYSTEM,REGION,COUNTRY,Priority_Brand,GMC_Category_Code,GMC_Category_Name,GMC_Subcategory_Code,GMC_Subcategory_Name,GMC_BRAND_CODE,GMC_BRAND_B1,B2_SUBBRAND_CODE2,B2_SUBBRAND2,SOURCE_BRAND_NAME,Source_Brand_Code,Source_Subcategory_Name,Source_Subcategory_Code,Source_Category_Name,Source_Category_Code,Source_Need_State,Mapping_Quality
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Neutrogena Norwegian Formula,,Foot Moisturising,,Hand/Body/Foot Moisturising,C40056,Skin Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Johnson's Baby,,Oil,,Baby Toiletries,C40056,Essential Health,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,OGX Renewing,,Regular Shampoo,,Hair Care,C40056,Skin Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Carefree Acti-fresh,,Liners,,FemCare,C40008,Essential Health,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Listerine Total Care,,,,Oral Care,C40008,Essential Health,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Imodium,,,,Non-Amazon,C40008,Spike SKUs,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Olynth Salin,,Decongestants,,Cough and Cold,C40008,Self Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Regaine Women,,Hair Loss,,Hair Loss,C40008,Skin Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Nicorette Freshmint,,Lozenge,,Smoking Cessation,C40008,Self Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Penaten,,Bath,,Baby Toiletries,C40008,Essential Health,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Penaten,,Creams,,Baby Toiletries,C40008,Essential Health,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Penaten,,Milks/Lotions,,Baby Toiletries,C40008,Essential Health,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Piz Buin,,,,Amazon,C40008,Spike SKUs,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Neutrogena Visibly Clear,,,,Non-Amazon,C40008,Spike SKUs,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,O.B. ExtraProtect,,,,Non-Amazon,C40008,Spike SKUs,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,O.B. ExtraProtect,,,,Amazon,C40008,Spike SKUs,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Bebe,,Lip Moisturising,,Lip Moisturising,C40008,Skin Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Johnson's Baby CottonTouch,,Soaps,,Baby Toiletries,C40008,Essential Health,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Nicorette,,Gum,,Smoking Cessation,C40008,Self Care,
,,,,,,,,,,,,Penaten,,Oil,,Baby Toiletries,,Essential Health,
,,,,,,,,,,,,Bebe Zartpflege,,Bath,,Baby Toiletries,,Essential Health,
,,,,,,,,,,,,Microlax,,,,Non-Amazon,,Spike SKUs,
,,,,,,,,,,,,Neutrogena Deep Clean,,Face Care Regular,,Face Care,,Skin Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Bebe,,,,,C40053,Spike SKUs,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Bebe,,,,Non-Amazon,C40031,Spike SKUs,
,,,,,,,,,,,,Aveeno Skin Relief,,,,Amazon,,Spike SKUs,
,,,,,,,,,,,,Listerine Cool Mint,,,,Non-Amazon,,Spike SKUs,
,,,,,,,,,,,,Penaten,,Powder,,Baby Toiletries,,Essential Health,
,,,,,,,,,,,,Neutrogena Rapid Wrinkle Repair,,Face Care Anti-Age,,Face Care,,Skin Care,
,,,,,,,,,,,,Listerine Total Care,,Regular Mouthwash,,Oral Care,,Essential Health,
,,,,,,,,,,,,Listerine Advanced White,,,,Oral Care,,Essential Health,
,,,,,,,,,,,,Nicorette,,,,Smoking Cessation,,Self Care,
,,,,,,,,,,,,Listerine Fresh Burst,,,,Oral Care,,Essential Health,
,,,,,,,,,,,,OGX Extra Strength,,Conditioner,,Hair Care,,Skin Care,
,,,,,,,,,,,,Aveeno Eczema Therapy,,Hand Moisturising,,Hand/Body/Foot Moisturising,,Skin Care,
,,,,,,,,,,,,Aveeno Dermexa,,Milks/Lotions,,Baby Toiletries,,Essential Health,
,,,,,,,,,,,,Le Petit Marseillais,,Hand Moisturising,,Hand/Body/Foot Moisturising,,Skin Care,
,,,,,,,,,,,,Maui Moisture Strength & Anti-Breakage,,Regular Shampoo,,Hair Care,,Skin Care,
,,,,,,,,,,,,Neutrogena,,Face Care Anti-Age,,Face Care,,Skin Care,
,,,,,,,,,,,,Nicorette,,Lozenge,,Smoking Cessation,,Self Care,
,,,,,,,,,,,,OGX Ever Straight,,Regular Shampoo,,Hair Care,,Skin Care,
,,,,,,,,,,,,Listerine Naturals,,Regular Mouthwash,,Oral Care,,Essential Health,
,,,,,,,,,,,,Carefree FlexiComfort,,Liners,,FemCare,,Essential Health,
,,,,,,,,,,,,Carefree Flexiform,,Liners,,FemCare,,Essential Health,
,,,,,,,,,,,,Aveeno Baby,,Sun Protection,,Sun Care,,Skin Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,OGX Nourishing,,Conditioner,,Hair Care,C40056,Skin Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Neutrogena Norwegian Formula,,,,Amazon,C40056,Spike SKUs,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,O.B. Original,,,,Amazon,C40056,Spike SKUs,
,,,,,,,,,,,,Bebe,,Face Care Regular,,Face Care,,Skin Care,
,,,,,,,,,,,,Aveeno,,Shower,,Adult Body Cleansing,,Skin Care,
,,,,,,,,,,,,Neutrogena Bright Boost,,Face Care Regular,,Face Care,,Skin Care,
,,,,,,,,,,,,Euthymol,,,,Oral Care,,Essential Health,
,,,,,,,,,,,,Listerine Total Care,,Hand Moisturising,,Hand/Body/Foot Moisturising,,Skin Care,
,,,,,,,,,,,,Aveeno,,Hand Moisturising,,Hand/Body/Foot Moisturising,,Skin Care,
,,,,,,,,,,,,Neutrogena Visibly Clear,,Face Care Regular,,Face Care,,Skin Care,
,,,,,,,,,,,,Neutrogena,,Face Care Regular,,Face Care,,Skin Care,
,,,,,,,,,,,,Johnson's Baby,,Milks/Lotions,,Baby Toiletries,,Essential Health,
,,,,,,,,,,,,Neostrata,,Face Care Regular,,Face Care,,Skin Care,
,,,,,,,,,,,,Bebe Zartpflege,,Adult Body Moisturising,,Hand/Body/Foot Moisturising,,Skin Care,
,,,,,,,,,,,,Carefree Flexiform,,,,Non-Amazon,,Spike SKUs,
,,,,,,,,,,,,Nicorette Freshmint,,Tablet,,Smoking Cessation,,Self Care,
,,,,,,,,,,,,Daktar,,Oral Treatment,,Oral Care,,Self Care,
,,,,,,,,,,,,Aveeno Baby Calming Comfort,,Bath,,Baby Toiletries,,Essential Health,
,,,,,,,,,,,,Aveeno Dermexa,,Shower,,Adult Body Cleansing,,Skin Care,
,,,,,,,,,,,,Aveeno Skin Relief,,Shower,,Adult Body Cleansing,,Skin Care,
,,,,,,,,,,,,Listerine Zero,,,,Oral Care,,Essential Health,
,,,,,,,,,,,,Livocab,,Allergy,,Allergy,,Self Care,
,,,,,,,,,,,,Aveeno Baby,,Hair Care,,Baby Toiletries,,Essential Health,
,,,,,,,,,,,,Livocab,,Decongestants,,Cough and Cold,,Self Care,
,,,,,,,,,,,,Blink,,Allergy,,Allergy,,Self Care,
,,,,,,,,,,,,Neutrogena Norwegian Formula,,Hand Moisturising,,Hand/Body/Foot Moisturising,,Skin Care,
,,,,,,,,,,,,O.B.,,Tampons,,FemCare,,Essential Health,
,,,,,,,,,,,,Penaten,,Soaps,,Baby Toiletries,,Essential Health,
,,,,,,,,,,,,Listerine Smart Rinse,,,,Oral Care,,Essential Health,
,,,,,,,,,,,,Clean & Clear,,Medicated Shampoo,,Hair Care,,Skin Care,
,,,,,,,,,,,,Johnson's Baby CottonTouch,,Milks/Lotions,,Baby Toiletries,,Essential Health,
,,,,,,,,,,,,Neutrogena Sheer Zinc,,Sun Protection,,Sun Care,,Skin Care,
,,,,,,,,,,,,Listerine,,,,Oral Care,,Essential Health,
,,,,,,,,,,,,Neutrogena Hydro Boost,,Face Care Regular,,Face Care,,Skin Care,
,,,,,,,,,,,,Aveeno Positively Radiant,,Shower,,Adult Body Cleansing,,Skin Care,
,,,,,,,,,,,,Olynth,,,,Non-Amazon,,Spike SKUs,
,,,,,,,,,,,,Olynth N,,Decongestants,,Cough and Cold,,Self Care,
,,,,,,,,,,,,Olynth Plus,,Decongestants,,Cough and Cold,,Self Care,
,,,,,,,,,,,,Neutrogena Norwegian Formula,,,,Non-Amazon,,Spike SKUs,
,,,,,,,,,,,,Livostin,,Decongestants,,Cough and Cold,,Self Care,
,,,,,,,,,,,,Dolormin,,,,Non-Amazon,,Spike SKUs,
,,,,,,,,,,,,OGX Renewing,,Conditioner,,Hair Care,,Skin Care,
